"rules","support","confidence","lift"
"{QpsOffence=GOOD_ORDER,Suburb=WOOLLOONGABBA} => {Solved=True}",0.00189251986208964,0.984996249062266,1.95838531144874
"{QpsOffence=GOOD_ORDER,Suburb=SUNNYBANK HILLS} => {Solved=True}",0.00108246947176643,0.982984293193717,1.95438510858096
"{QpsOffence=GOOD_ORDER,Suburb=BOWEN HILLS} => {Solved=True}",0.00204674653782734,0.982698961937716,1.95381780840984
"{QpsOffence=GOOD_ORDER,Suburb=UPPER MOUNT GRAVATT} => {Solved=True}",0.00138515734003667,0.982617586912065,1.95365601728109
"{QpsOffence=GOOD_ORDER,Suburb=EIGHT MILE PLAINS} => {Solved=True}",0.00170946577032621,0.982601491300746,1.95362401572898
"{QpsOffence=GOOD_ORDER,Suburb=OXLEY} => {Solved=True}",0.00102481463971495,0.982044198895028,1.95251599804609
"{QpsOffence=GOOD_ORDER,Suburb=FORTITUDE VALLEY} => {Solved=True}",0.00333821477578036,0.98135593220339,1.95114757519114
"{Unemployment_rating=VERY LOW,QpsOffence=DRUG,Suburb=FORTITUDE VALLEY} => {Solved=True}",0.00369711610530079,0.980504587155963,1.94945491733844
"{QpsOffence=GOOD_ORDER,Suburb=RICHLANDS} => {Solved=True}",0.00118048268625394,0.979665071770335,1.94778577940871
"{QpsOffence=GOOD_ORDER} => {Solved=True}",0.107033312961959,0.979424411089715,1.9473072939907
"{Unemployment_rating=MEDIUM,QpsOffence=GOOD_ORDER,Suburb=BRISBANE CITY} => {Solved=True}",0.00183630640083945,0.979246733282091,1.94695403212909
"{QpsOffence=DRUG,Suburb=KANGAROO POINT} => {Solved=True}",0.0020943117742698,0.97911051212938,1.94668319505247
"{QpsOffence=GOOD_ORDER,Suburb=SOUTH BRISBANE} => {Solved=True}",0.00129579235035688,0.978237214363438,1.94494689045337
"{QpsOffence=GOOD_ORDER,Suburb=BRACKEN RIDGE} => {Solved=True}",0.00123093066429897,0.97823596792669,1.94494441226787
"{QpsOffence=DRUG,Suburb=MOOROOKA} => {Solved=True}",0.00107526261775999,0.977719528178244,1.9439176184922
"{Unemployment_rating=MEDIUM,QpsOffence=GOOD_ORDER,Suburb=KANGAROO POINT} => {Solved=True}",0.00101184230250337,0.977715877437326,1.94391036003066
"{QpsOffence=GOOD_ORDER,Suburb=MORNINGSIDE} => {Solved=True}",0.00101040093170209,0.97768479776848,1.94384856693549
"{Unemployment_rating=HIGH,QpsOffence=GOOD_ORDER} => {Solved=True}",0.0077747541021413,0.976466328747285,1.94142598732076
"{QpsOffence=GOOD_ORDER,Suburb=CALAMVALE} => {Solved=True}",0.0012943509795556,0.976086956521739,1.94067171338847
"{QpsOffence=GOOD_ORDER,Suburb=TINGALPA} => {Solved=True}",0.00117471720304879,0.976047904191617,1.94059406892052
"{Unemployment_rating=MEDIUM,QpsOffence=DRUG,Suburb=KANGAROO POINT} => {Solved=True}",0.00105940753894584,0.973509933774834,1.93554803550684
"{QpsOffence=DRUG,Suburb=WYNNUM WEST} => {Solved=True}",0.00126840630513243,0.973451327433628,1.93543151344101
"{QpsOffence=DRUG,Suburb=SUNNYBANK} => {Solved=True}",0.00115453801183077,0.973268529769137,1.93506807219801
