,Year,Annual Change (%),label
0,2007.0,3.3,HIGH
1,2008.0,4.2,VERY HIGH
2,2009.0,3.7,VERY HIGH
3,2010.0,2.7,MEDIUM
4,2011.0,3.3,HIGH
5,2012.0,1.9,VERY LOW
6,2013.0,2.0,VERY LOW
7,2014.0,2.8,MEDIUM
8,2015.0,1.8,VERY LOW
9,2016.0,1.6,VERY LOW
10,2017.0,1.8,VERY LOW
