,MeshBlockId,Unemployment Rate (%),label
0,2000.0,6.2,HIGH
1,2001.0,6.5,VERY HIGH
2,2002.0,7.0,VERY HIGH
3,2003.0,5.9,HIGH
4,2004.0,5.4,MEDIUM
5,2005.0,4.5,LOW
6,2006.0,4.0,LOW
7,2007.0,3.2,VERY LOW
8,2008.0,3.2,VERY LOW
9,2009.0,3.4,VERY LOW
10,2010.0,4.5,LOW
11,2011.0,4.4,LOW
12,2012.0,4.3,LOW
13,2013.0,5.3,MEDIUM
14,2014.0,4.9,MEDIUM
15,2015.0,5.2,MEDIUM
16,2016.0,4.9,MEDIUM
17,2017.0,5.7,HIGH
