Index,Year,Suburb,OffenceType,CPI-Annual-Change
59759,2010,SAINT LUCIA,ASSAULT,MEDIUM
59760,2010,SAINT LUCIA,PROPERTY_DAMAGE,MEDIUM
59761,2010,SAINT LUCIA,THEFT,MEDIUM
59762,2010,SAINT LUCIA,THEFT,MEDIUM
59763,2010,SAINT LUCIA,THEFT,MEDIUM
59764,2010,SAINT LUCIA,THEFT,MEDIUM
59765,2010,SAINT LUCIA,THEFT,MEDIUM
59766,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
59767,2010,SAINT LUCIA,THEFT,MEDIUM
59768,2010,SAINT LUCIA,THEFT,MEDIUM
59769,2010,SAINT LUCIA,THEFT,MEDIUM
59770,2010,SAINT LUCIA,THEFT,MEDIUM
59771,2010,SAINT LUCIA,THEFT,MEDIUM
59772,2010,SAINT LUCIA,THEFT,MEDIUM
59773,2010,SAINT LUCIA,THEFT,MEDIUM
59774,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
