Index,Year,Suburb,OffenceType,CPI-Annual-Change
60532,2008,SAINT LUCIA,THEFT,VERY HIGH
60533,2008,SAINT LUCIA,THEFT,VERY HIGH
60534,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
60535,2009,SAINT LUCIA,THEFT,VERY HIGH
60536,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
60537,2009,SAINT LUCIA,THEFT,VERY HIGH
60538,2012,SAINT LUCIA,THEFT,VERY LOW
60539,2012,SAINT LUCIA,THEFT,VERY LOW
60540,2013,SAINT LUCIA,THEFT,VERY LOW
60541,2014,SAINT LUCIA,HANDLING_STOLEN_GOODS,MEDIUM
60542,2015,SAINT LUCIA,GOOD_ORDER,VERY LOW
60543,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60544,2007,SAINT LUCIA,PROPERTY_DAMAGE,HIGH
60545,2007,SAINT LUCIA,PROPERTY_DAMAGE,HIGH
60546,2008,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
60547,2008,SAINT LUCIA,ASSAULT,VERY HIGH
60548,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60549,2012,SAINT LUCIA,THEFT,VERY LOW
60550,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60551,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60552,2012,SAINT LUCIA,PROPERTY_DAMAGE,VERY LOW
60553,2014,SAINT LUCIA,THEFT,MEDIUM
60554,2014,SAINT LUCIA,THEFT,MEDIUM
60555,2014,SAINT LUCIA,THEFT,MEDIUM
60556,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60557,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60558,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60559,2007,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60560,2008,SAINT LUCIA,THEFT,VERY HIGH
60561,2008,SAINT LUCIA,THEFT,VERY HIGH
60562,2010,SAINT LUCIA,PROPERTY_DAMAGE,MEDIUM
