Index,Year,Suburb,OffenceType,CPI-Annual-Change
29724,2011,MANLY WEST,GOOD_ORDER,HIGH
29725,2012,MANLY WEST,THEFT,VERY LOW
29726,2012,MANLY WEST,GOOD_ORDER,VERY LOW
29727,2012,MANLY WEST,PROPERTY_DAMAGE,VERY LOW
29728,2012,MANLY WEST,GOOD_ORDER,VERY LOW
29729,2012,MANLY WEST,GOOD_ORDER,VERY LOW
29730,2012,MANLY WEST,THEFT,VERY LOW
29731,2012,MANLY WEST,THEFT,VERY LOW
29732,2012,MANLY WEST,PROPERTY_DAMAGE,VERY LOW
29733,2013,MANLY WEST,THEFT,VERY LOW
29734,2013,MANLY WEST,THEFT,VERY LOW
29735,2014,MANLY WEST,DRUG,MEDIUM
29736,2014,MANLY WEST,PROPERTY_DAMAGE,MEDIUM
29737,2016,MANLY WEST,THEFT,VERY LOW
29738,2016,MANLY WEST,THEFT,VERY LOW
29739,2017,MANLY WEST,GOOD_ORDER,VERY LOW
29740,2007,MANLY WEST,GOOD_ORDER,HIGH
29741,2007,MANLY WEST,THEFT,HIGH
29742,2008,MANLY WEST,THEFT,VERY HIGH
29743,2008,MANLY WEST,PROPERTY_DAMAGE,VERY HIGH
