Index,Year,Suburb,OffenceType,CPI-Annual-Change
30474,2010,MANLY WEST,THEFT,MEDIUM
30475,2010,MANLY WEST,THEFT,MEDIUM
30476,2010,MANLY WEST,UNLAWFUL_ENTRY,MEDIUM
30477,2011,MANLY WEST,UNLAWFUL_ENTRY,HIGH
30478,2011,MANLY WEST,FRAUD,HIGH
30479,2011,MANLY WEST,UNLAWFUL_ENTRY,HIGH
30480,2012,MANLY WEST,THEFT,VERY LOW
30481,2012,MANLY WEST,THEFT,VERY LOW
30482,2012,MANLY WEST,DRUG,VERY LOW
30483,2012,MANLY WEST,DRUG,VERY LOW
30484,2013,MANLY WEST,PROPERTY_DAMAGE,VERY LOW
30485,2013,MANLY WEST,UNLAWFUL_ENTRY,VERY LOW
30486,2014,MANLY WEST,THEFT,MEDIUM
30487,2014,MANLY WEST,UNLAWFUL_ENTRY,MEDIUM
30488,2014,MANLY WEST,GOOD_ORDER,MEDIUM
30489,2014,MANLY WEST,PROPERTY_DAMAGE,MEDIUM
30490,2014,MANLY WEST,GOOD_ORDER,MEDIUM
30491,2015,MANLY WEST,UNLAWFUL_ENTRY,VERY LOW
30492,2015,MANLY WEST,DRUG,VERY LOW
30493,2016,MANLY WEST,UNLAWFUL_ENTRY,VERY LOW
30494,2017,MANLY WEST,GOOD_ORDER,VERY LOW
30495,2017,MANLY WEST,UNLAWFUL_ENTRY,VERY LOW
30496,2007,MANLY WEST,THEFT,HIGH
30497,2007,MANLY WEST,PROPERTY_DAMAGE,HIGH
30498,2007,MANLY WEST,DRUG,HIGH
30499,2008,MANLY WEST,THEFT,VERY HIGH
30500,2008,MANLY WEST,THEFT,VERY HIGH
30501,2009,MANLY WEST,UNLAWFUL_ENTRY,VERY HIGH
30502,2010,MANLY WEST,HANDLING_STOLEN_GOODS,MEDIUM
30503,2010,MANLY WEST,ROBBERY,MEDIUM
30504,2011,MANLY WEST,DRUG,HIGH
30505,2012,MANLY WEST,THEFT,VERY LOW
30506,2012,MANLY WEST,UNLAWFUL_ENTRY,VERY LOW
30507,2012,MANLY WEST,THEFT,VERY LOW
